strategy,run,grid_size,grid_label,pattern_diversity,pattern_richness,pattern_evenness,unique_patterns,total_transitions,unique_transitions,connectivity_ratio,vertical_stratification,layer_density_variation,average_layer_density,average_kl_divergence,max_kl_divergence,uniform_kl_divergence
collapsed_neighbors,0,8,8×8×8,3.667054024928755,67,0.8721336746513266,69,1344,245,0.10443307757885763,0.06722689075630252,0.31801769432886906,0.2890625,17.083589434561766,20.924475320158752,1.5467312601824499
collapsed_neighbors,1,8,8×8×8,3.8325070931483745,70,0.9020857679717388,72,1344,271,0.10602503912363068,0.0787515006002401,0.32661015651069014,0.32421875,16.349249917952637,20.644410626923587,1.502524244006861
collapsed_neighbors,2,8,8×8×8,3.8663339911133194,71,0.9070195516996937,73,1344,275,0.10464231354642313,0.11020408163265305,0.3044871135922668,0.3828125,15.762499721950075,20.699548373584634,1.4783071699480708
collapsed_neighbors,3,8,8×8×8,3.890083577770491,73,0.906682286857667,75,1344,283,0.10198198198198198,0.11020408163265305,0.3044871135922668,0.3828125,15.752285270043526,20.6484761140519,1.4975746869176696
collapsed_neighbors,4,8,8×8×8,3.6072232763801466,67,0.8579041568329053,69,1344,243,0.10358056265984655,0.06722689075630252,0.31801769432886906,0.2890625,17.11817908599379,21.062833925886856,1.5744029812644258
collapsed_neighbors,5,8,8×8×8,3.7828832368204406,70,0.8904054309345725,72,1344,267,0.10446009389671361,0.07346938775510203,0.32661015651069014,0.32421875,16.55038187809517,20.794783353235847,1.5325987887842454
collapsed_neighbors,6,8,8×8×8,3.881959450113094,70,0.9137257379251628,72,1344,273,0.1068075117370892,0.12076830732292917,0.3044871135922668,0.3828125,15.485299762315984,20.621858803929925,1.4511742755009258
collapsed_neighbors,7,8,8×8×8,3.6160168177140113,66,0.8630822920661572,68,1344,239,0.10491659350307288,0.07257448433919023,0.31801769432886906,0.2890625,16.909610357608475,21.020838012247985,1.5509659233301447
collapsed_neighbors,8,8,8×8×8,3.8265194470620454,71,0.897679290361817,73,1344,271,0.10312024353120243,0.11020408163265305,0.3044871135922668,0.3828125,15.78688613012783,20.82148041447341,1.498629176714094
collapsed_neighbors,9,8,8×8×8,3.8663339911133208,71,0.9070195516996941,73,1344,272,0.1035007610350076,0.11020408163265305,0.3044871135922668,0.3828125,15.762499721950075,20.699548373584634,1.4783071699480705
collapsed_neighbors,10,8,8×8×8,3.890083577770491,73,0.906682286857667,75,1344,285,0.10270270270270271,0.11020408163265305,0.3044871135922668,0.3828125,15.75228527004353,20.6484761140519,1.4975746869176696
collapsed_neighbors,11,8,8×8×8,3.8309396764593124,71,0.8987162505663762,73,1344,274,0.10426179604261795,0.07346938775510203,0.32661015651069014,0.32421875,16.51380506829918,20.6484761140519,1.5175219747075084
collapsed_neighbors,12,8,8×8×8,3.8225885056091924,70,0.8997511560740925,72,1344,269,0.10524256651017215,0.0787515006002401,0.32661015651069014,0.32421875,16.355681502045925,20.670136963296745,1.507669511269658
collapsed_neighbors,13,8,8×8×8,3.6993966019733002,66,0.8829836417938343,68,1344,242,0.10623353819139596,0.11153552330022919,0.2993255663616698,0.337890625,16.107342511187156,21.02083801224799,1.4912359228264351
collapsed_neighbors,14,8,8×8×8,3.8279515083783124,72,0.8950784096419059,74,1344,277,0.10255460940392447,0.07346938775510203,0.32661015651069014,0.32421875,16.521157920871154,20.677887524339788,1.5373904965976406
collapsed_neighbors,15,8,8×8×8,3.835236854799611,70,0.9027282923234713,72,1344,268,0.10485133020344288,0.11020408163265305,0.3044871135922668,0.3828125,15.781546717880321,20.79478335323585,1.4799950333057124
collapsed_neighbors,16,8,8×8×8,3.546580008856013,66,0.8465088956567877,68,1344,240,0.10535557506584724,0.03361344537815126,0.3284910068064792,0.240234375,18.224019938924478,20.95272752408939,1.6235333020835196
collapsed_neighbors,17,8,8×8×8,4.014724292604378,77,0.9242412821730691,79,1344,312,0.10126582278481013,0.08333333333333334,0.3415233280374124,0.3671875,15.910571913042748,20.361989832505206,1.468380857784322
collapsed_neighbors,18,8,8×8×8,3.78288323682044,70,0.8904054309345724,72,1344,267,0.10446009389671361,0.07346938775510203,0.32661015651069014,0.32421875,16.55038187809517,20.794783353235847,1.532598788784245
collapsed_neighbors,19,8,8×8×8,4.014724292604378,77,0.9242412821730691,79,1344,314,0.10191496267445635,0.08494208494208495,0.3415233280374124,0.3671875,15.891317823758442,20.361989828494092,1.4529775880245677
collapsed_neighbors,20,9,9×9×9,3.6331625067208058,70,0.8551645464402747,72,1944,271,0.10602503912363068,0.06890756302521009,0.310256408641494,0.2510288065843621,16.431892051360222,20.974979160553936,1.5686379505808674
collapsed_neighbors,21,9,9×9×9,4.017370605316535,83,0.9091458511149486,85,1944,338,0.09467787114845938,0.121875,0.3257533732866387,0.3868312757201646,14.631406997201585,20.490913115845167,1.4739379724901636
collapsed_neighbors,22,9,9×9×9,3.9966900540785586,81,0.9094860159729099,83,1944,333,0.09785483397002645,0.140625,0.29806286357583245,0.448559670781893,14.250589894126668,20.462621958575454,1.443015058329496
collapsed_neighbors,23,9,9×9×9,4.00998965239113,81,0.9125124699935305,83,1944,330,0.0969732588892154,0.1466346153846154,0.29806286357583245,0.448559670781893,14.166530120892752,20.385356388985052,1.4363780540021767
collapsed_neighbors,24,9,9×9×9,4.042802026719996,86,0.9076081764258354,88,1944,353,0.09221525600835946,0.15030487804878048,0.29806286357583245,0.448559670781893,14.23953113867332,20.396269433936727,1.4569693742570258
