strategy,run,grid_size,grid_label,pattern_diversity,pattern_richness,pattern_evenness,unique_patterns,total_transitions,unique_transitions,connectivity_ratio,vertical_stratification,layer_density_variation,average_layer_density,average_kl_divergence,max_kl_divergence,uniform_kl_divergence
entropy,0,8,8×8×8,3.9806379965307888,74,0.9248554355778561,76,1344,303,0.10631578947368421,0.07539682539682539,0.3415233280374124,0.3671875,16.056418533091843,20.405311535006007,1.470036823076533
entropy,1,8,8×8×8,3.7366266265727583,65,0.8951317606586552,67,1344,235,0.10628674807779286,0.11688311688311688,0.2993255663616698,0.337890625,15.920094889461051,20.876878903519874,1.451975268090761
entropy,2,8,8×8×8,3.839640151826935,71,0.9007573316746441,73,1344,273,0.10388127853881278,0.11548619447779111,0.3044871135922668,0.3828125,15.642051355330807,20.75146165474616,1.486959383800084
entropy,3,8,8×8×8,4.032618703134848,76,0.9311630124214084,78,1344,312,0.1038961038961039,0.1298798798798799,0.3156095293238149,0.4375,15.04932025176154,20.336131819372646,1.4244402811565795
entropy,4,8,8×8×8,3.7200340015373223,70,0.8756121378502189,72,1344,267,0.10446009389671361,0.03673469387755102,0.33729739288942034,0.265625,17.824553528704985,20.773122503991008,1.6060892102231583
entropy,5,8,8×8×8,3.7320206722790665,66,0.890770457728454,68,1344,241,0.1057945566286216,0.11153552330022919,0.2993255663616698,0.337890625,16.0880699727693,20.92447532015873,1.4751754741802288
entropy,6,8,8×8×8,3.8701922925002092,69,0.9140517103899196,71,1344,266,0.10704225352112676,0.11548619447779111,0.3044871135922668,0.3828125,15.624973319615261,20.666071476168437,1.4441543185174508
entropy,7,8,8×8×8,3.791234407670559,71,0.8894016245719155,73,1344,271,0.10312024353120243,0.07346938775510203,0.32661015651069014,0.32421875,16.54496666578396,20.773122503991004,1.5424512522225295
entropy,8,8,8×8×8,3.819600337528192,71,0.8960561073564218,73,1344,274,0.10426179604261795,0.07346938775510203,0.32661015651069014,0.32421875,16.526573133182367,20.69954837358463,1.527736426176571
entropy,9,8,8×8×8,3.7200340015373223,70,0.8756121378502189,72,1344,267,0.10446009389671361,0.03673469387755102,0.33729739288942034,0.265625,17.824553528704982,20.773122503991008,1.6060892102231583
entropy,10,8,8×8×8,3.955834506298432,75,0.9162351817242966,77,1344,301,0.10287081339712918,0.03861003861003861,0.3518228202874282,0.296875,17.53486307687843,20.472160514850053,1.521478270805796
entropy,11,8,8×8×8,3.891702013913525,71,0.9129707428592356,73,1344,275,0.10464231354642313,0.11020408163265305,0.3044871135922668,0.3828125,15.746961808019133,20.621858803929918,1.465358908370028
entropy,12,8,8×8×8,3.866333991113319,71,0.9070195516996936,73,1344,275,0.10464231354642313,0.11548619447779111,0.3044871135922668,0.3828125,15.631668699098498,20.699548373584634,1.478307169948071
entropy,13,8,8×8×8,3.826519447062047,71,0.8976792903618174,73,1344,271,0.10312024353120243,0.11020408163265305,0.3044871135922668,0.3828125,15.786886130127831,20.821480414473406,1.4986291767140942
entropy,14,8,8×8×8,4.007139106587811,77,0.922495074578593,79,1344,310,0.10061668289516391,0.08494208494208495,0.3415233280374124,0.3671875,15.904347345092791,20.41410791383149,1.463401204657706
entropy,15,8,8×8×8,3.7981868696256647,70,0.8940075610849741,72,1344,269,0.10524256651017215,0.0787515006002401,0.32661015651069014,0.32421875,16.371504437844187,20.73342870648978,1.5203278598791508
entropy,16,8,8×8×8,3.9748610892966445,75,0.9206420457382496,77,1344,303,0.10355434039644566,0.03968253968253969,0.3518228202874282,0.296875,17.31811792622416,20.3619898325052,1.5252234936249376
entropy,17,8,8×8×8,3.835236854799612,70,0.9027282923234715,72,1344,269,0.10524256651017215,0.11548619447779111,0.3044871135922668,0.3828125,15.65071569502874,20.79478335323585,1.4799950333057124
entropy,18,8,8×8×8,3.7085670212164477,65,0.8884099105901032,67,1344,237,0.10719131614654002,0.11688311688311688,0.2993255663616698,0.337890625,15.93526461357495,20.95272752408937,1.4646167048257965
entropy,19,8,8×8×8,3.8481980948285264,70,0.9057790760222811,72,1344,268,0.10485133020344288,0.11548619447779111,0.3044871135922668,0.3828125,15.642776935528497,20.75508955573462,1.4733794004047194
entropy,20,8,8×8×8,3.7725903939495793,71,0.8850278469815794,73,1344,271,0.10312024353120243,0.07346938775510203,0.32661015651069014,0.32421875,16.55705614340456,20.821480414473406,1.5521228342957987
entropy,21,8,8×8×8,3.8028979958279527,69,0.8981583225879853,71,1344,264,0.1062374245472837,0.07346938775510203,0.32661015651069014,0.32421875,16.53198834549358,20.72120922282948,1.503495227415711
entropy,22,8,8×8×8,3.9894511399651966,75,0.9240213371884817,77,1344,302,0.10321257689678742,0.08730158730158731,0.3415233280374124,0.3671875,15.77615740985777,20.383650681747877,1.4463957231274978
entropy,23,8,8×8×8,3.814237334759073,69,0.9008364174632106,71,1344,266,0.10704225352112676,0.0787515006002401,0.32661015651069014,0.32421875,16.36109671435714,20.69179781254159,1.497612945371662
entropy,24,8,8×8×8,3.7981868696256647,70,0.8940075610849741,72,1344,267,0.10446009389671361,0.07346938775510203,0.32661015651069014,0.32421875,16.540458428719866,20.755089555734617,1.5246600293030532
entropy,25,8,8×8×8,3.5612803426394097,66,0.8500176176609991,68,1344,238,0.1044776119402985,0.03361344537815126,0.3284910068064792,0.240234375,18.214602537614258,20.92447532015873,1.6164702511163995
entropy,26,8,8×8×8,3.835236854799612,70,0.9027282923234715,72,1344,266,0.10406885758998435,0.11020408163265305,0.3044871135922668,0.3828125,15.781546717880317,20.79478335323585,1.4799950333057126
entropy,27,8,8×8×8,4.055038030370183,79,0.9280435806278544,81,1344,327,0.10092592592592593,0.12194337194337194,0.3156095293238149,0.4375,15.156851852726698,20.3144709661236,1.4451040800061643
entropy,28,8,8×8×8,3.688704397141576,63,0.8903172695893133,65,1344,241,0.11586538461538462,0.0,0.3478975637220675,0.2265625,20.185888528753708,20.428838816364696,1.4411547051423128
entropy,29,8,8×8×8,3.7097833702394887,66,0.8854627883836472,68,1344,241,0.1057945566286216,0.11153552330022919,0.2993255663616698,0.337890625,16.100092014159202,20.984585527108234,1.4851938419831063
entropy,30,8,8×8×8,3.748906776587228,71,0.8794718075778442,73,1344,271,0.10312024353120243,0.03673469387755102,0.33729739288942034,0.265625,17.804101979789625,20.711767857244936,1.6049351819448585
entropy,31,8,8×8×8,3.5964377710773894,66,0.8584091034999909,68,1344,242,0.10623353819139596,0.03361344537815126,0.3284910068064792,0.240234375,18.192079810068474,20.856907137521382,1.5995782054942242
entropy,32,8,8×8×8,3.848198094828526,70,0.905779076022281,72,1344,269,0.10524256651017215,0.11548619447779111,0.3044871135922668,0.3828125,15.642776935528499,20.755089555734624,1.473379400404719
entropy,33,8,8×8×8,3.732606807825463,67,0.8877240611148687,69,1344,246,0.10485933503836317,0.10618792971734149,0.2993255663616698,0.337890625,16.25217621353591,20.95272752408937,1.4949220500579095
entropy,34,8,8×8×8,3.94250434754522,74,0.9159955210180649,76,1344,302,0.10596491228070175,0.08061224489795918,0.3415233280374124,0.3671875,15.94399152554204,20.495668275385338,1.488108172320225
